Result Log
# Experiment Configuration Properties: 
# Using timer seed: true
# Random seed of 10
# Number of runs is 30
# Number of evaluations is 2000
# Population size is 30
# Birth rate is 4
# Mating pool size is 6
# Survival selection bracket size is 5
# Max tree depth is 10
# Parsimony pressure is 0.05
# Convergence termination is 10
# Mutation rate is 0.02
# Using log file logs/config2log.log
# Using world file games/config2world.log
# Using solution file solutions/config2solution.log
# Using ghost solution file solutions/config2ghostsolution.log
# Using survival selection truncation
# Using parent selection fitnessProportional
# Using termination strategy numberOfEvals
# Chose timer seed to be 1480830585037

# GPac Configuration Properties: 
# Width is 10
# Height is 15
# Fruit score is 10
# Time multiplier is 2
# Pill density is 0.5
# Wall density is 0.25
# Fruit spawn probability is 0.05
Run 1
128	17	65
196	21	84
264	14	95
332	21	93
400	22	78
468	11	56
536	15	54
604	20	87
672	22	75
740	19	91
808	16	56
876	21	79
944	18	79
1012	18	89
1080	18	76
1148	19	81
1216	16	72
1284	21	71
1352	21	78
1420	21	79
1488	23	88
1556	17	64
1624	16	74
1692	15	45
1760	16	69
1828	21	83
1896	18	88
1964	19	73
2032	18	74

Run 18
60	20	73
128	10	52
196	12	68
264	16	66
332	17	48
400	17	64
468	15	51
536	18	76
604	20	62
672	22	83
740	13	62
808	14	66
876	15	69
944	15	57
1012	12	40
1080	14	53
1148	17	71
1216	12	58
1284	13	62
1352	11	53
1420	12	67
1488	13	53
1556	12	74
1624	13	51
1692	15	81
1760	13	64
1828	10	47
1896	15	70
1964	11	54
2032	11	56

Run 19
60	10	79
128	16	76
196	21	79
264	22	79
332	15	70
400	13	87
468	14	84
536	11	64
604	13	69
672	10	81
740	17	65
808	13	66
876	18	69
944	16	58
1012	14	56
1080	12	53
1148	17	79
1216	10	55
1284	14	61
1352	19	110
1420	15	64
1488	16	78
1556	15	77
1624	12	55
1692	12	48
1760	15	76
1828	13	66
1896	14	83
1964	16	52
2032	14	61

Run 20
60	11	53
128	13	74
196	12	51
264	12	77
332	7	50
400	11	69
468	8	54
536	10	57
604	12	51
672	17	79
740	14	53
808	17	61
876	13	56
944	13	49
1012	9	53
1080	10	44
1148	14	68
1216	10	41
1284	11	66
1352	12	86
1420	11	89
1488	11	55
1556	11	41
1624	9	44
1692	12	54
1760	9	68
1828	10	46
1896	12	59
1964	12	57
2032	9	34

Run 21
60	12	66
128	17	66
196	13	86
264	15	79
332	16	86
400	12	62
468	14	75
536	20	85
604	11	56
672	9	88
740	14	53
808	12	79
876	15	79
944	14	79
1012	14	99
1080	18	87
1148	19	77
1216	20	73
1284	9	47
1352	22	100
1420	14	59
1488	10	64
1556	9	73
1624	17	88
1692	9	55
1760	5	77
1828	4	74
1896	15	74
1964	10	94
2032	13	70

Run 22
60	12	63
128	18	86
196	18	69
264	22	62
332	25	82
400	16	58
468	18	85
536	14	49
604	21	108
672	16	46
740	18	77
808	28	76
876	17	54
944	18	106
1012	17	70
1080	15	51
1148	18	67
1216	19	63
1284	14	77
1352	16	62
1420	23	75
1488	18	64
1556	20	64
1624	21	108
1692	18	93
1760	14	47
1828	20	79
1896	21	73
1964	16	58
2032	14	54

Run 23
60	11	45
128	18	53
196	17	63
264	14	60
332	12	45
400	16	60
468	14	61
536	16	67
604	14	57
672	14	48
740	15	78
808	13	52
876	17	67
944	16	62
1012	17	57
1080	18	73
1148	22	61
1216	14	49
1284	13	52
1352	11	53
1420	13	43
1488	13	53
1556	12	50
1624	14	49
1692	17	85
1760	18	78
1828	13	57
1896	15	68
1964	14	58
2032	15	60

Run 24
60	9	79
128	15	66
196	12	47
264	22	64
332	18	52
400	20	69
468	21	66
536	21	59
604	21	61
672	17	61
740	21	67
808	16	51
876	17	55
944	19	75
1012	20	84
1080	12	47
1148	17	49
1216	18	72
1284	21	48
1352	17	54
1420	24	78
1488	19	56
1556	16	44
1624	18	76
1692	19	59
1760	14	49
1828	18	68
1896	17	56
1964	17	62
2032	15	92

Run 25
60	12	62
128	19	86
196	10	49
264	16	79
332	15	78
400	12	51
468	11	80
536	14	81
604	11	94
672	17	81
740	12	89
808	10	56
876	6	55
944	7	62
1012	9	63
1080	2	38
1148	1	64
1216	7	68
1284	8	58
1352	7	58
1420	2	62
1488	2	34
1556	3	69
1624	0	40
1692	3	44
1760	2	56
1828	1	60
1896	3	51
1964	1	31
2032	5	55

Run 26
60	12	57
128	13	60
196	20	76
264	15	68
332	19	66
400	18	54
468	11	40
536	14	47
604	17	90
672	16	65
740	12	58
808	7	55
876	12	50
944	13	62
1012	12	66
1080	11	56
1148	12	52
1216	10	67
1284	13	53
1352	6	40
1420	10	83
1488	12	70
1556	9	80
1624	9	54
1692	8	43
1760	11	69
1828	9	48
1896	12	76
1964	10	55
2032	13	59

Run 27
60	5	53
128	8	64
196	13	84
264	9	55
332	6	59
400	12	60
468	8	84
536	15	73
604	7	70
672	11	79
740	9	51
808	13	69
876	11	86
944	16	86
1012	20	86
1080	21	89
1148	21	84
1216	15	61
1284	11	45
1352	11	68
1420	9	56
1488	13	64
1556	11	59
1624	11	66
1692	9	85
1760	12	69
1828	8	64
1896	10	59
1964	10	71
2032	14	85

Run 28
60	10	59
128	18	64
196	22	76
264	15	54
332	18	83
400	29	107
468	19	98
536	20	84
604	19	99
672	27	86
740	20	71
808	18	76
876	23	61
944	18	78
1012	14	51
1080	16	75
1148	21	72
1216	18	45
1284	26	89
1352	25	64
1420	17	38
1488	19	81
1556	25	66
1624	22	86
1692	15	72
1760	20	63
1828	22	50
1896	18	82
1964	20	78
2032	17	75

Run 29
60	12	54
128	17	84
196	17	80
264	16	74
332	15	66
400	16	74
468	9	74
536	13	77
604	7	41
672	9	73
740	7	77
808	10	76
876	16	91
944	12	86
1012	15	67
1080	10	62
1148	14	77
1216	7	47
1284	9	65
1352	10	84
1420	14	89
1488	9	63
1556	19	96
1624	11	55
1692	10	72
1760	17	80
1828	11	96
1896	14	61
1964	14	88
2032	17	66

Run 30
60	17	47
128	17	85
196	17	55
264	21	66
332	17	44
400	19	64
468	17	73
536	16	66
604	18	63
672	19	76
740	18	72
808	16	66
876	14	62
944	16	55
1012	18	68
1080	16	61
1148	14	45
1216	17	68
1284	14	60
1352	19	91
1420	12	64
1488	13	57
1556	13	51
1624	11	78
1692	13	51
1760	13	57
1828	11	47
1896	6	42
1964	19	78
2032	12	73

